Date,Close_left,Close_right
2010-11-17,29.49,28.258000000000003
2010-11-18,29.89,29.276
2010-11-19,30.99,29.339000000000002
2010-11-22,33.4,29.182
2010-11-23,34.57,28.468000000000004
2010-11-24,35.47,28.669
2010-11-26,35.32,28.944000000000003
2010-11-29,34.33,28.944000000000003
2010-11-30,35.33,29.284000000000002
2010-12-01,34.35,29.781
2010-12-02,32.35,29.695
2010-12-03,31.49,29.585
2010-12-06,30.31,29.524
2010-12-07,31.56,29.695
2010-12-08,32.37,29.5
2010-12-09,32.05,28.892
2010-12-10,31.52,28.951
2010-12-13,30.55,28.944000000000003
2010-12-14,28.53,29.019000000000002
2010-12-15,29.6,28.78
2010-12-16,30.81,28.78
2010-12-17,31.36,29.114
2010-12-20,31.7,28.906
2010-12-21,32.26,28.985
2010-12-22,32.63,29.901
2010-12-23,30.09,29.805999999999997
2010-12-27,25.55,29.627
2010-12-28,26.41,30.244
2010-12-29,27.73,30.845
2010-12-30,26.5,31.528000000000002
2010-12-31,26.63,31.563000000000002
2011-01-03,26.62,31.736
2011-01-04,26.67,32.453
2011-01-05,26.83,32.598
2011-01-06,27.88,33.309
2011-01-07,28.24,33.376999999999995
2011-01-10,28.45,33.02
2011-01-11,26.96,33.181
2011-01-12,26.96,33.07
2011-01-13,26.22,32.771
2011-01-14,25.75,32.711
2011-01-18,25.64,32.564
2011-01-19,24.03,32.025999999999996
2011-01-20,22.62,31.838
2011-01-21,23.04,31.888
2011-01-24,24.49,32.231
2011-01-25,24.68,32.88
2011-01-26,24.75,32.445
2011-01-27,24.92,33.111999999999995
2011-01-28,24.01,31.342
2011-01-31,24.1,31.247
2011-02-01,23.91,31.212
2011-02-02,23.94,30.553
2011-02-03,23.63,30.875
2011-02-04,23.46,31.333000000000002
2011-02-07,23.07,31.428
2011-02-08,24.49,31.589000000000002
2011-02-09,23.21,31.177
2011-02-10,23.21,30.725
2011-02-11,23.25,31.212
2011-02-14,23.08,31.075
2011-02-15,22.84,30.92
2011-02-16,24.73,31.468000000000004
2011-02-18,23.18,31.264
2011-02-22,21.87,30.63
2011-02-23,21.83,29.616999999999997
2011-02-24,22.53,28.274
2011-02-25,23.61,28.468000000000004
2011-02-28,23.89,28.711
2011-03-01,23.94,28.214000000000002
2011-03-02,24.02,28.156
2011-03-03,24.36,28.281999999999996
2011-03-04,24.95,27.735
2011-03-07,24.94,27.145
2011-03-08,24.66,28.017
2011-03-09,24.72,27.615
2011-03-10,24.01,26.904
2011-03-11,24.07,27.340999999999998
2011-03-14,23.25,27.05
2011-03-15,22.95,27.701
2011-03-16,22.82,27.212
2011-03-17,22.81,26.921999999999997
2011-03-18,22.96,27.273000000000003
2011-03-21,22.73,26.785
2011-03-22,22.19,26.320999999999998
2011-03-23,22.21,26.682
2011-03-24,22.33,26.88
2011-03-25,22.75,26.945999999999998
2011-03-28,23.25,26.416
2011-03-29,23.92,26.631
2011-03-30,23.71,27.016
2011-03-31,27.75,26.57
2011-04-01,26.66,27.752
2011-04-04,25.83,27.735
2011-04-05,26.7,28.147
2011-04-06,26.49,28.147
2011-04-07,27.24,27.666999999999998
2011-04-08,26.49,26.99
2011-04-11,25.27,26.349
2011-04-12,24.65,26.673000000000002
2011-04-13,24.93,26.425
2011-04-14,25.14,26.185
2011-04-15,25.58,25.894000000000002
2011-04-18,25.03,25.663
2011-04-19,25.16,25.337
2011-04-20,25.75,25.63
2011-04-21,26.74,26.502
2011-04-25,26.39,26.665
2011-04-26,26.93,26.776999999999997
2011-04-27,27.08,27.212
2011-04-28,27.66,27.324
2011-04-29,27.6,27.48
2011-05-02,27.45,27.557
2011-05-03,26.87,28.250999999999998
2011-05-04,26.69,28.291
2011-05-05,26.44,27.418000000000003
2011-05-06,27.12,27.324
2011-05-09,27.91,26.88
2011-05-10,28.33,27.066999999999997
2011-05-11,27.07,26.802
2011-05-12,27.67,26.904
2011-05-13,27.55,26.605
2011-05-16,26.6,26.631
2011-05-17,25.96,26.631
2011-05-18,26.35,26.99
2011-05-19,28.2,26.945999999999998
2011-05-20,27.97,26.7
2011-05-23,26.82,26.511
2011-05-24,26.72,26.398000000000003
2011-05-25,28.98,26.776999999999997
2011-05-26,29.48,26.27
2011-05-27,29.55,26.785
2011-05-31,30.14,27.238000000000003
2011-06-01,28.52,25.885
2011-06-02,28.76,25.345
2011-06-03,30.13,24.936
2011-06-06,28.7,24.455
2011-06-07,28.37,24.644000000000002
2011-06-08,27.12,24.711
2011-06-09,27.62,25.218000000000004
2011-06-10,27.86,24.703000000000003
2011-06-13,28.43,24.482
2011-06-14,28.6,24.927
2011-06-15,27.32,24.79
2011-06-16,26.5,24.482
2011-06-17,26.5,24.831999999999997
2011-06-20,26.01,25.276999999999997
2011-06-21,27.53,25.337
2011-06-22,27.21,25.663
2011-06-23,27.71,25.809
2011-06-24,27.57,25.621
2011-06-27,27.46,25.912
2011-06-28,28.11,26.118000000000002
2011-06-29,28.29,25.945999999999998
2011-06-30,29.13,25.996
2011-07-01,29.02,26.185
2011-07-05,29.14,26.425
2011-07-06,28.96,26.709
2011-07-07,29.73,27.230999999999998
2011-07-08,28.81,27.041
2011-07-11,28.35,26.331
2011-07-12,28.17,26.27
2011-07-13,28.64,26.331
2011-07-14,27.61,25.772
2011-07-15,27.58,25.484
2011-07-18,27.23,24.918000000000003
2011-07-19,27.89,25.116
2011-07-20,28.69,25.039
2011-07-21,28.7,25.656
2011-07-22,29.29,25.772
2011-07-25,28.49,25.26
2011-07-26,28.0,24.909000000000002
2011-07-27,27.64,24.095
2011-07-28,28.17,24.064
2011-07-29,28.17,23.701
2011-08-01,28.77,24.037
2011-08-02,27.34,23.162
2011-08-03,27.2,23.265
2011-08-04,24.75,22.254
2011-08-05,24.24,22.529
2011-08-08,23.64,21.039
2011-08-09,25.06,21.869
2011-08-10,23.82,20.482
2011-08-11,25.3,22.103
2011-08-12,26.31,22.048000000000002
2011-08-15,26.23,22.624000000000002
2011-08-16,26.1,22.118000000000002
2011-08-17,25.83,21.357
2011-08-18,24.26,20.209
2011-08-19,22.3,18.977
2011-08-22,21.95,18.590999999999998
2011-08-23,22.96,18.89
2011-08-24,23.87,19.156
2011-08-25,23.11,19.095
2011-08-26,23.73,19.581
2011-08-29,24.71,20.371
2011-08-30,24.63,20.191
2011-08-31,24.74,20.576
2011-09-01,24.0,19.722
2011-09-02,23.07,18.898
2011-09-06,22.94,18.358
2011-09-07,23.84,19.577
2011-09-08,23.61,19.25
2011-09-09,22.97,18.633
2011-09-12,22.88,18.726
2011-09-13,24.08,18.837
2011-09-14,24.34,18.992
2011-09-15,24.82,19.435
2011-09-16,25.8,19.36
2011-09-19,25.77,19.737000000000002
2011-09-20,26.01,19.206
2011-09-21,25.85,18.224
2011-09-22,25.63,17.332
2011-09-23,26.38,17.982
2011-09-26,25.52,18.049
2011-09-27,26.19,18.143
2011-09-28,24.59,17.477
2011-09-29,24.12,17.777
2011-09-30,24.39,17.279
2011-10-03,23.73,16.894000000000002
2011-10-04,23.66,18.342
2011-10-05,25.37,19.07
2011-10-06,26.96,19.137
2011-10-07,26.99,18.847
2011-10-10,27.88,19.37
2011-10-11,27.61,19.267
2011-10-12,27.8,20.046
2011-10-13,27.94,19.824
2011-10-14,28.05,20.689
2011-10-17,27.42,19.849
2011-10-18,28.34,20.157
2011-10-19,27.57,19.772000000000002
2011-10-20,27.34,19.66
2011-10-21,28.03,20.85
2011-10-24,28.55,21.391
2011-10-25,28.25,21.288
2011-10-26,27.98,21.398000000000003
2011-10-27,28.76,22.538
2011-10-28,29.87,22.647
2011-10-31,29.37,22.136
2011-11-01,28.88,19.977
2011-11-02,28.71,19.868
2011-11-03,32.46,20.576
2011-11-04,32.31,20.218
2011-11-07,31.27,20.559
2011-11-08,31.84,21.441999999999997
2011-11-09,30.88,19.104
