NA_Sales,EU_Sales
41.36,28.96
29.08,3.58
15.68,12.76
15.61,10.93
11.27,8.89
23.2,2.26
11.28,9.14
13.96,9.18
14.44,6.94
26.93,0.63
9.05,10.95
9.71,7.47
9,6.18
8.92,8.03
15,4.89
9.01,8.49
7.02,9.09
9.43,0.4
12.78,3.75
4.74,9.2
6.38,4.46
10.83,2.71
9.54,3.44
9.66,5.14
8.41,5.49
6.06,3.9
3.43,5.35
5.51,3.17
6.85,5.09
9.04,4.24
5.89,5.04
6.03,5.86
9.7,3.68
5.28,4.19
4.99,5.73
8.25,4.24
8.52,3.59
5.54,5.73
6.99,4.51
6.62,2.55
5.03,4.02
5.99,4.37
3.96,6.31
2.5,3.45
7.97,2.81
6.91,2.85
4.34,2.71
4.35,3.49
3.01,0.01
6.06,3.35
6.16,2.04
6.76,3.07
4.02,3.87
4.89,3
2.96,4.82
4.99,3.64
5.99,2.15
4.76,3.69
4.34,2.65
5.01,3.07
6.73,2.56
5.95,3.11
3.66,3.14
5.55,1.94
7.04,1.95
3.01,2.47
6.65,2.28
3.88,3.42
5.8,2.85
4.1,3.63
5.93,2.36
4.36,1.71
5.7,2.65
2.03,2.36
4.4,1.85
5.05,2.79
3.54,1.24
1.12,6.12
6.82,1.53
1.75,3.47
3.74,2.24
1.06,5.01
5.8,2.01
2.79,1.72
2.91,2.07
0.99,6.42
2.57,3.86
2.99,3.49
2.28,1.72
7.28,0.45
2.76,1.72
2.9,2.81
2.81,3.48
4.1,1.89
0.66,5.75
3.78,2.17
3.27,1.37
3.56,2.35
5.39,1.18
4.59,2.11
4.81,1.88
4.46,2.11
3.27,2.83
3.48,2.99
2.85,2.89
2.53,3.27
3.27,2.22
3.74,2.14
2.98,1.45
3.68,1.75
3.15,2.15
4.41,1.04
4.12,1.77
2.71,3.02
2.93,2.75
3.23,2.35
4.05,2.16
4.15,1.9
2.77,2.75
3.45,2.59
3.11,2.26
3.27,2.2
0.84,4.3
1.66,2.75
3.74,0.93
2.79,2.53
0.78,4.24
2.64,2.52
3.17,1.79
4.98,1.3
2.55,2.6
2.57,1.58
3.64,1.2
2.55,1.56
4.34,1.34
3.7,1.95
4.01,1.26
2.47,0.83
0.08,6.21
3.11,2.8
4.05,1.59
3.92,1.73
3.54,1.88
0.8,4.33
2.45,2.01
4.47,1.2
3.18,1.83
2.63,1.71
1.88,0
2.41,2.18
2.8,1.98
1.88,1.47
0.63,0.67
2.26,1.89
2.49,2.07
3.57,1.55
3.07,1.91
2.97,0.69
2.95,0.6
2.54,1.93
3.28,1.64
2.99,1.9
3.14,1.24
0.47,0.55
2.71,1.85
2.81,2.19
2.62,1.64
3.21,1.11
3.18,1.24
2.07,2.29
2.73,1.83
1.85,2.5
2.18,0.96
1.74,1.21
3.02,1.12
1.62,0.77
3.13,1.69
1.92,1.08
3.33,0.79
3.22,1.55
2.03,2.37
3.11,1.55
2.3,2.46
4.26,0.26
0.97,2.11
2.3,1.34
0.65,0.75
2.93,1.25
1.21,2.43
2.49,0.98
1.09,3.47
2.1,0.74
2.44,2.16
1.98,2.23
2.71,0.61
3.22,1.69
3.81,0.63
3.59,1.08
1.63,2.45
